,Date,Open,High,Low,Close,Volume,Trading Value,index,Date_1305,Close_1305,diff_1305,Date_1309,Close_1309,diff_1309,Date_1322,Close_1322,diff_1322,Date_1326,Close_1326,diff_1326,Date_1343,Close_1343,diff_1343,Date_1543,Close_1543,diff_1543,Date_1551,Close_1551,diff_1551
0,2018-01-05,5430,5450,5340,5360,317300,5360,0,2018-01-05,1963,-0.004058853373921867,2018-01-05,35300,-0.012587412587412583,2018-01-05,5800.0,-0.028475711892797295,2018-01-05,14150,0.004258339247693366,2018-01-05,1779,-0.011666666666666714,2018-01-05,38100.0,-0.002617801047120394,2018-01-05,5670,-0.020725388601036232
1,2018-01-09,5400,5410,5270,5330,423500,5330,1,2018-01-09,1971,-0.001519756838905817,2018-01-09,35750,0.0014005602240896309,2018-01-09,5970.0,0.008445945945946054,2018-01-09,14090,0.009312320916905481,2018-01-09,1800,-0.00497512437810943,2018-01-09,38200.0,0.021390374331550888,2018-01-09,5790,0.0
2,2018-01-10,5350,5420,5330,5350,355900,5350,2,2018-01-10,1974,0.0015220700152207556,2018-01-10,35700,0.005633802816901401,2018-01-10,5920.0,-0.006711409395973145,2018-01-10,13960,-0.0014306151645206988,2018-01-10,1809,0.0005530973451326471,2018-01-10,37400.0,0.009446693657219951,2018-01-10,5790,0.006956521739130528
3,2018-01-11,5340,5360,5240,5270,318300,5270,3,2018-01-11,1971,0.006125574272588086,2018-01-11,35500,-0.008379888268156388,2018-01-11,5960.0,-0.009966777408637828,2018-01-11,13980,-0.0028530670470755526,2018-01-11,1808,0.0016620498614958734,2018-01-11,37050.0,-0.0040322580645161255,2018-01-11,5750,-0.006908462867012077
4,2018-01-12,5270,5340,5250,5330,371600,5330,4,2018-01-12,1959,-0.003560528992878953,2018-01-12,35800,-0.03112313937753719,2018-01-12,6020.0,-0.024311183144246407,2018-01-12,14020,-0.006378454996456395,2018-01-12,1805,-0.010958904109588996,2018-01-12,37200.0,-0.01326259946949604,2018-01-12,5790,0.005208333333333259
5,2018-01-15,5450,5470,5400,5410,384900,5410,5,2018-01-15,1966,-0.006066734074823055,2018-01-15,36950,-0.0013513513513513375,2018-01-15,6170.0,-0.0016181229773463146,2018-01-15,14110,-0.0007082152974504652,2018-01-15,1825,-0.004364429896344779,2018-01-15,37700.0,-0.01308900523560208,2018-01-15,5760,-0.008605851979345935
6,2018-01-16,5400,5540,5390,5530,264600,5530,6,2018-01-16,1978,0.0015189873417722488,2018-01-16,37000,-0.005376344086021501,2018-01-16,6180.0,0.0,2018-01-16,14120,0.005698005698005604,2018-01-16,1833,-0.005965292841648595,2018-01-16,38200.0,0.024128686327077764,2018-01-16,5810,0.0017241379310344307
7,2018-01-17,5470,5570,5450,5550,301100,5550,7,2018-01-17,1975,0.007139214686384454,2018-01-17,37200,-0.021052631578947323,2018-01-17,6180.0,-0.009615384615384581,2018-01-17,14040,0.0028571428571428914,2018-01-17,1844,-0.012847965738758016,2018-01-17,37300.0,-0.004005340453938633,2018-01-17,5800,-0.0017211703958691649
8,2018-01-18,5590,5590,5390,5410,416700,5410,8,2018-01-18,1961,-0.006585612968591725,2018-01-18,38000,-0.018087855297157618,2018-01-18,6240.0,-0.004784688995215336,2018-01-18,14000,-0.0014265335235378318,2018-01-18,1868,0.009184224743381986,2018-01-18,37450.0,0.006720430107526987,2018-01-18,5810,0.003454231433505983
9,2018-01-19,5440,5460,5350,5390,275200,5390,9,2018-01-19,1974,-0.0010121457489878916,2018-01-19,38700,-0.014012738853503182,2018-01-19,6270.0,-0.006339144215530945,2018-01-19,14020,0.0021443888491778917,2018-01-19,1851,-0.005373455131649663,2018-01-19,37200.0,0.0,2018-01-19,5790,0.0
